state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000
SD,2004,770621,1319,17,336,112,854,14885,3148,10890,847,81,1.7116066133676606,0.022060130725739372,0.4360119955204958,0.14533733184016528,1.1081971552812602,19.31559093250768,4.085017148507503,14.131460211958927,1.09911357204125,0.10511003463440524
SD,2005,774883,1387,18,377,145,847,13694,2505,10350,839,69,1.789947643708792,0.02322931332859283,0.4865250624933054,0.1871250240358867,1.093068243851007,17.67234537343057,3.2327461048958357,13.356855163940878,1.0827441045938548,0.08904570109293919
SD,2006,781919,2071,30,465,158,1418,13812,3024,9954,834,224,2.648611940623006,0.03836714544601167,0.5946907544131809,0.2020669660156615,1.8134870747481517,17.664233763343773,3.8674082609579767,12.730218858986673,1.0666066433991246,0.28647468599688714
SD,2007,796214,1926,31,433,118,1344,13829,2647,10398,784,129,2.418947669847553,0.0389342563682628,0.5438236454018642,0.14820136295016162,1.6879884051272647,17.368446171506655,3.324483116348117,13.059303152167633,0.9846599029909043,0.16201674424212584
SD,2008,804194,2227,37,562,134,1494,13867,2683,10266,918,130,2.7692322996689853,0.046008798871913996,0.6988363504328557,0.1666264607793642,1.8577606895848515,17.24335172856301,3.3362596587390607,12.765576465380244,1.141515604443704,0.1616525365769951
SD,2009,812383,1777,30,501,117,1129,14378,2621,10891,866,84,2.187391907511605,0.03692839461190103,0.6167041900187473,0.14402073898641404,1.3897385838945422,17.698548590997103,3.2263107425930873,13.406238190607139,1.0659996577968764,0.10339950491332289
SD,2010,816598,2196,23,385,154,1634,15188,3192,11196,800,84,2.689205704642921,0.0281656335185734,0.47146821324568516,0.18858728529827407,2.0009845725803883,18.59911486435186,3.9089000952733173,13.71054055973686,0.9796742093416835,0.10286579198087677
SD,2011,823593,2105,20,503,167,1415,15299,2927,11423,949,142,2.5558740785800755,0.024283839226414018,0.6107385565443125,0.20277005754055705,1.7180816252687918,18.575922816245402,3.5539398707856917,13.869714774166367,1.1522681712933451,0.17241525850753953
SD,2012,834047,2701,23,600,157,1921,17326,3280,12973,1073,233,3.2384266114499543,0.027576383585097723,0.7193839196112449,0.18823879229827575,2.303227515955336,20.77340965197405,3.9326320938748056,15.554279315194467,1.2864982429047762,0.27936075544903344
SD,2013,845510,2733,18,507,156,2052,16274,3383,11955,936,148,3.2323686295845113,0.02128892621021632,0.5996380882544263,0.1845040271552081,2.42693758796466,19.24755473028113,4.001135409397878,14.139395157952006,1.1070241629312485,0.17504228217288972
SD,2014,853304,2801,23,478,199,2101,16036,2817,12209,1010,91,3.2825347121307296,0.026954051545521877,0.5601755060330199,0.23321114163299364,2.4621940129191944,18.79283350365169,3.301285356684136,14.307913709533766,1.1836344374337868,0.1066442908974996
SD,2015,857919,3302,33,500,215,2554,16739,2969,12576,1194,90,3.848848201287068,0.03846516978875628,0.5828056028599436,0.2506064092297758,2.9769710194085923,19.511165972545193,3.4606996697823456,14.658726523133303,1.3917397796295454,0.10490500851478986
