population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,avg_violent_crime_1000,avg_homicide_1000,avg_rape_1000,avg_robbery_1000,avg_aggravated_assault_1000,avg_property_crime_1000,avg_burglary_1000,avg_larceny_1000,avg_motor_vehicle_theft_1000,avg_arson_1000
296507061,1390745,16740,94347,417438,862220,10174754,2155448,6783447,1235859,68514,4.207186670077602,0.05316231115381023,0.339972808799632,1.1336529115535856,2.6803986385705727,33.78976237208473,6.910704110041653,23.057296955386658,3.8217613066564424,0.22303406558489233
299398484,1435123,17309,94472,449246,874096,10019601,2194993,6626363,1198245,72875,4.431436400683579,0.054600908076662236,0.34586098298946993,1.2303141907233441,2.8006603188941024,32.950297679962745,7.010765052346178,22.272760676622877,3.6667719509936947,0.24476274605703155
301621157,1422970,17128,92160,447324,866358,9882212,2190198,6591542,1100472,68013,4.377789863153381,0.05504820901901231,0.3382009132017049,1.2284815919603496,2.756059148972314,32.189070451593274,6.889772882762928,21.93628184629172,3.3630157225386212,0.2260364828924974
304059724,1394461,16465,90750,443563,843683,9774152,2228887,6586206,959059,65767,4.278189279122785,0.05289065345536087,0.33676935255816465,1.2177172627294113,2.6708120103798465,31.431455375511103,6.884361118914783,21.67317078121713,2.87392347537919,0.21485205316124587
307006550,1325896,15399,89241,408742,812514,9337060,2203313,6338095,795652,59876,4.065283234603076,0.047736831551694045,0.3295879959882162,1.1286916171006411,2.5592667899625257,29.868157746250464,6.80360618083144,20.687099435551453,2.377452129867578,0.19433131067675258
309330219,1251248,14722,85593,369089,781844,9112625,2168459,6204601,739565,55938,3.8527182147074934,0.04465226725475085,0.3127978770890756,1.0267234131889555,2.4685446571747107,28.982020087739272,6.6691723989249345,20.11257965891477,2.200268029899563,0.18251375601285375
311587816,1206031,14661,84175,354772,752423,9052743,2185140,6151095,716508,54504,3.7087113865338606,0.045138656459314044,0.3097755456407211,0.977976598972655,2.375820585461172,28.859603395748398,6.707995476182405,20.035045844447346,2.1165620751186496,0.17885448222186756
313873685,1217067,14856,85141,355051,762009,9001992,2109932,6168874,723186,55280,3.727846530038253,0.04401940156742911,0.3138532964857398,0.9732840998322526,2.396503044840042,28.68851232692013,6.479647904298361,20.137188187883414,2.071676234738344,0.1838091060701606
316497531,1199684,14319,113695,345093,726777,8651892,1932139,6019465,700288,47156,3.7035341469462932,0.043126570624886965,0.4217023790914521,0.9388644623320532,2.3028057441125567,27.5282389751238,5.95352984173458,19.557970167099942,2.0167389662892634,0.1478799866051489
318907401,1186185,14164,118027,322905,731089,8209010,1713153,5809054,686803,46149,3.6414889642764523,0.04318191919380665,0.41480725579298505,0.8863003631399206,2.2971994261497395,26.092116021994343,5.273196939352023,18.794239800080728,2.024679282561585,0.1492814797554868
320903064,1234854,15873,126134,328109,764057,8024115,1587564,5723488,713063,44009,3.8197180991237745,0.05024491008160881,0.442671219547264,0.9033741604456043,2.4141005436157443,25.239747405947288,4.927373089740912,18.242035929935184,2.070338386271196,0.14162888065570334
323405935,1285606,17413,132414,332797,802982,7928530,1516405,5644835,767290,45905,3.9417176716243225,0.052602898912351544,0.45862813838647765,0.905235022717267,2.5252516116082266,25.037642787071995,4.709250514643037,18.04186495385597,2.2865273185729804,0.14839400850012896
325147121,1283875,17294,135666,320596,810319,7682988,1397045,5513000,772943,42990,3.9029749782504704,0.05232868035183752,0.466933295921346,0.8515900290588843,2.5321229729184043,24.157456686536545,4.357036823911956,17.453567323067965,2.3468525395566235,0.1371405557374517
326687501,1252399,16374,143765,281278,810982,7219084,1235013,5232167,751904,39306,3.8214381504577246,0.04959003626310565,0.49338970848431685,0.7258578411663046,2.5526005645439986,22.610953697052416,3.847413717278877,16.47063386007986,2.2929061196936757,0.12185856134101485
328329953,1250393,16669,143224,268483,822017,6995235,1118096,5152267,724872,35807,3.8026925940440517,0.05203297585618954,0.4907591352547192,0.6893488130164787,2.570551669916664,21.5686132289244,3.4560256385674237,15.951127598097104,2.161459992259867,0.11312962147944838
329484123,1313105,21570,126430,243600,921505,6452038,1035314,4606324,810400,43533,3.9610423048277137,0.06465132743126477,0.4370221903844444,0.6260829815667089,2.833285805445296,19.818616978591468,3.1526625846734193,14.289437816745044,2.3765165771730064,0.1323873996125676
