year,state_abbr,measure_type,violent_crime_1000,property_crime_1000
2011-01-01,MN,historical,2.3045279495311557,25.467623934999708
2012-01-01,MN,historical,2.3085162109179675,25.680500166739602
2013-01-01,MN,historical,2.344127508732844,24.196154229204396
2014-01-01,MN,historical,2.2914996449595706,22.97491811164303
2015-01-01,MN,historical,2.429394967746996,22.249967395874272
2016-01-01,MN,historical,2.4189826336413245,21.307137491968398
2017-01-01,MN,historical,2.3966646043438087,21.987534470574182
2018-01-01,MN,historical,2.2123526800183155,20.01088428287791
2019-01-01,MN,historical,2.374977681947315,20.916647414483517
2020-01-01,MN,historical,2.7748013112871734,21.248847957220896
2021-01-01,MN,forecast,2.314105749130249,23.899169921875
1979-01-01,MO,historical,5.271569433032046,44.126746096959735
1980-01-01,MO,historical,5.5448690221835575,48.78615580231156
1981-01-01,MO,historical,5.401984609153503,48.11158363710004
1982-01-01,MO,historical,5.0652393455867495,44.41284588971925
1983-01-01,MO,historical,4.772233400402414,40.52676056338028
1984-01-01,MO,historical,4.6068290734824275,38.36321884984026
1985-01-01,MO,historical,5.034997017299662,38.62537283754226
1986-01-01,MO,historical,5.785629688116858,40.75463876825898
1987-01-01,MO,historical,5.446208112874778,41.62845385067608
1988-01-01,MO,historical,5.525004864759682,42.92235843549329
1989-01-01,MO,historical,6.325644504748982,44.94553207986044
1990-01-01,MO,historical,7.152917302528222,44.0529185337008
1991-01-01,MO,historical,7.630476929042264,46.52617293524622
1992-01-01,MO,historical,7.403812824956673,43.56749470440978
1993-01-01,MO,historical,7.444210928544135,43.50993504012228
1994-01-01,MO,historical,7.4346343311860545,45.6419098143236
1995-01-01,MO,historical,6.6376784372652144,44.56761833208114
1996-01-01,MO,historical,5.909498040679232,44.93021086023512
1997-01-01,MO,historical,5.7741577193632,42.37115883006294
1998-01-01,MO,historical,5.5565361279647005,42.70711527854385
1999-01-01,MO,historical,5.0020682701032735,40.78204383123355
2000-01-01,MO,historical,4.9004407519215984,40.377208294736334
2001-01-01,MO,historical,5.405415952895257,42.291632408299776
2002-01-01,MO,historical,5.389675077925139,40.65935461476268
2003-01-01,MO,historical,4.90750111379136,40.8385502597914
2004-01-01,MO,historical,4.900745407786605,39.001259130082104
2005-01-01,MO,historical,5.2567370215411175,39.29297516619943
2006-01-01,MO,historical,5.4592789342896015,38.33955219090858
2007-01-01,MO,historical,5.607293802836309,38.29484648497937
2008-01-01,MO,historical,5.024185479239564,36.62660140520215
2009-01-01,MO,historical,4.92903643876157,33.70025953724209
2010-01-01,MO,historical,4.576601789778199,33.50025810099379
2011-01-01,MO,historical,4.474633315715269,33.13122484599726
2012-01-01,MO,historical,4.513055143627993,33.16661471233734
2013-01-01,MO,historical,4.336866825466752,31.374293476651534
2014-01-01,MO,historical,4.433173967529087,29.09647653206465
2015-01-01,MO,historical,4.98534940564866,28.601409695921998
2016-01-01,MO,historical,5.207532995270535,28.01774238669183
2017-01-01,MO,historical,5.312172388752142,28.382879776944414
2018-01-01,MO,historical,5.0143564868336385,26.57759224963707
2019-01-01,MO,historical,4.996356145086495,26.58149410265492
2020-01-01,MO,historical,5.427089246479097,25.310377160350534
2021-01-01,MO,forecast,5.278911590576172,35.153167724609375
1979-01-01,MS,historical,3.2360764754779714,26.37032418952618
1980-01-01,MS,historical,3.4194826897647648,30.75225035646156
1981-01-01,MS,historical,3.0458498023715417,32.32766798418972
1982-01-01,MS,historical,2.945903567228538,32.78008624068993
1983-01-01,MS,historical,2.8044066486277544,29.27715500579822
1984-01-01,MS,historical,2.81986143187067,27.77867590454196
1985-01-01,MS,historical,2.7091465748182166,29.94795254496747
1986-01-01,MS,historical,2.7413333333333334,30.70933333333333
1987-01-01,MS,historical,2.6975238095238097,31.688380952380964
1988-01-01,MS,historical,3.2523791397030832,32.676056338028175
1989-01-01,MS,historical,3.1117893933613123,32.04120564669973
1990-01-01,MS,historical,3.4035230621914367,35.287748871451136
1991-01-01,MS,historical,3.8908179012345685,38.316743827160494
1992-01-01,MS,historical,4.1174445294567725,38.707345065034424
1993-01-01,MS,historical,4.338630344305713,39.84411653424139
1994-01-01,MS,historical,4.937055076807793,43.43349569127014
1995-01-01,MS,historical,5.027808676307008,40.11679644048943
1996-01-01,MS,historical,4.882547864506628,40.346465390279825
1997-01-01,MS,historical,4.6898571951666055,41.61259611863786
1998-01-01,MS,historical,4.106831395348837,39.73292151162791
1999-01-01,MS,historical,3.4930772345346184,39.2108845601363
2000-01-01,MS,historical,3.6092212139385484,36.43460830792313
2001-01-01,MS,historical,3.498928046779192,38.3284033859105
2002-01-01,MS,historical,3.438757638050003,38.22609221019189
2003-01-01,MS,historical,3.238749542946388,37.07320559190784
2004-01-01,MS,historical,2.953700537237036,34.811470617436484
2005-01-01,MS,historical,2.7956029508034392,32.742352060996474
2006-01-01,MS,historical,3.118321686010156,31.902327403162303
2007-01-01,MS,historical,2.9128558629703796,31.13864159230639
2008-01-01,MS,historical,3.042926981322513,29.091225875564643
2009-01-01,MS,historical,2.862808757193438,29.582357157665523
2010-01-01,MS,historical,2.6932007035519683,29.829579888972386
2011-01-01,MS,historical,2.6898793164771138,30.16298808009654
2012-01-01,MS,historical,2.6014163973949005,28.104605802876325
2013-01-01,MS,historical,2.7748757939794246,27.253471184804788
2014-01-01,MS,historical,2.783082891506536,29.025774000039416
2015-01-01,MS,historical,2.739689368065057,28.696489919348092
2016-01-01,MS,historical,2.8173637500983952,27.641383191281616
2017-01-01,MS,historical,2.562496174317975,27.68338772630895
2018-01-01,MS,historical,2.6598278441607235,24.05250551824543
2019-01-01,MS,historical,2.6119567111573434,23.412251651737762
2020-01-01,MS,historical,2.911568276242371,21.01634563463627
2021-01-01,MS,forecast,2.8546042442321777,29.841726303100586
1979-01-01,MT,historical,2.2417302798982193,42.36386768447837
1980-01-01,MT,historical,2.2262254475480816,48.01865935168222
1981-01-01,MT,historical,2.5303030303030303,47.65909090909091
1982-01-01,MT,historical,2.2484394506866416,41.083645443196005
1983-01-01,MT,historical,2.1260709914320683,44.31823745410037
1984-01-01,MT,historical,2.3762135922330097,44.15048543689321
1985-01-01,MT,historical,2.0847457627118646,43.407990314769975
1986-01-01,MT,historical,1.5738705738705738,43.214896214896214
1987-01-01,MT,historical,1.5117428924598268,44.48207663782448
1988-01-01,MT,historical,1.2300995024875625,41.440298507462686
1989-01-01,MT,historical,1.1600496277915633,38.815136476426794
1990-01-01,MT,historical,1.5931119495910844,43.42825677510589
1991-01-01,MT,historical,1.3985148514851484,35.08292079207921
1992-01-01,MT,historical,1.6990291262135917,44.262135922330096
1993-01-01,MT,historical,1.7747318235995233,46.12514898688915
1994-01-01,MT,historical,1.7710280373831775,48.41705607476636
1995-01-01,MT,historical,1.7137931034482758,46.25977011494253
1996-01-01,MT,historical,1.6097838452787259,43.32650739476678
1997-01-01,MT,historical,1.3208191126279865,42.76678043230945
1998-01-01,MT,historical,2.0420454545454545,41.55
1999-01-01,MT,historical,2.3675234685011763,32.967481102291735
2000-01-01,MT,historical,3.1113007720060515,35.68851523229457
2001-01-01,MT,historical,3.520061145461253,33.32847350621064
2002-01-01,MT,historical,3.5117512401523774,31.581595216021586
2003-01-01,MT,historical,3.6497026107735375,30.962025013151344
2004-01-01,MT,historical,2.9376861002028223,29.360678375695855
2005-01-01,MT,historical,2.8179049294079515,31.46018612722081
2006-01-01,MT,historical,3.7728978057063483,28.56773854792131
2007-01-01,MT,historical,3.798045854252339,29.06162793975326
2008-01-01,MT,historical,3.1144050277019764,27.18514843297775
2009-01-01,MT,historical,2.869775966703214,25.46285137575911
2010-01-01,MT,historical,2.757937268784348,25.64084451611471
2011-01-01,MT,historical,2.7614424452247093,23.94085401241096
