state,crime_rate,baseline_MAE,baseline_RMSE,baseline_R2,LSTM_MAE,LSTM_RMSE,LSTM_R2
MO,property_crime_1000,0.2202660888047055,0.2851103704261481,0.9192106564261134,0.42328270870274715,0.5663048541654134,0.6812658339611835
MT,violent_crime_1000,0.2911254375937226,0.3912803406737156,0.849917319425956,0.5092915201856821,0.6125372768775169,0.632193356863192
MT,property_crime_1000,0.27537152861503944,0.3812436034931221,0.8556842462468223,0.4817003304237587,0.6082540614694828,0.6326511831788648
NE,violent_crime_1000,0.3153060163665668,0.43017925052014916,0.8124313581002544,0.4980347303699718,0.6426023023282997,0.5814514216200448
NE,property_crime_1000,0.21036796562137244,0.24686979524845473,0.9399749458883969,0.2523116796705741,0.316638765427325,0.9012527946096334
NV,violent_crime_1000,0.49684008890886394,0.6375799672973403,0.5883469516652563,0.5747928150896615,0.788144015407006,0.3709673705920561
NV,property_crime_1000,0.14439380239883276,0.1947619363974052,0.9581991518337113,0.3391058367754592,0.47596772439366647,0.7503497907878962
NH,violent_crime_1000,0.4664506744322194,0.6803938057769439,0.5460764565481309,0.537955663484905,0.653643752675407,0.5810673242025478
NH,property_crime_1000,0.1893650347139393,0.23622908665595957,0.9372737915914073,0.430363542225934,0.5760310463697935,0.6270298480340887
NJ,violent_crime_1000,0.14701447482444918,0.20230383141055128,0.9598417509166409,0.47656273510379177,0.5480607004206715,0.7052703175927413
NJ,property_crime_1000,0.1225446564919392,0.15363485283431372,0.9755663559290663,0.4567611810217875,0.5514376282374448,0.6852240518329389
NM,violent_crime_1000,0.43174326998750734,0.5188906937780793,0.7249640697940014,0.5570282284397138,0.754528281939964,0.41844778315108666
NM,property_crime_1000,0.19188515904327813,0.23568545249169243,0.9454791125116571,0.25563473839007805,0.2991392672412354,0.9121697307877034
NY,violent_crime_1000,0.12130605097322882,0.16659086515337143,0.9724865453006843,0.23769451847808545,0.3233333515333289,0.89635609529735
NY,property_crime_1000,0.10294805233032117,0.1404118756221289,0.9798501288702915,0.25477694974631326,0.3669989811764225,0.8623442652811604
NC,violent_crime_1000,0.22830670567145425,0.29028840953007246,0.9175841894655151,0.3976270333385614,0.47427697577033034,0.7800037762700796
NC,property_crime_1000,0.17535344641934283,0.21854493986041879,0.9533721289102206,0.41497678798258275,0.5484497330583202,0.7063447732492831
ND,violent_crime_1000,0.13804983329191398,0.21805916730941874,0.9527727094909137,0.5046859294030243,0.6548986676257881,0.5740167277497
ND,property_crime_1000,0.3775031918742427,0.45583980752180386,0.7924018461936659,0.5252699369356916,0.6327712018105117,0.5999701482266303
OH,violent_crime_1000,0.251848171260527,0.34495299176883587,0.8813458423941845,0.39120914570649684,0.5277869786241709,0.7222331133672537
