state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000,avg_unemployment_rate,avg_CPI,ag_Democrat,ag_Mixed,ag_Republican,ag_Unknown
MA,1996,6092000,39122,157,1767,7778,29420,194636,42896,119562,32178,2893,6.421864740643467,0.0257715036112935,0.2900525279054498,1.2767564018384767,4.829284307288247,31.9494418910046,7.041365725541694,19.62606697307945,5.282009192383454,0.4748850952068286,4.616666666666666,156.85833333333332,1,0,0,0
MA,1997,6118000,39411,119,1647,6676,30969,185437,40491,115494,29452,3087,6.441811049362537,0.0194508009153318,0.2692056227525335,1.0912062765609676,5.061948349133703,30.310068649885583,6.6183393265773125,18.877737822817917,4.813991500490356,0.5045766590389016,4.058333333333333,160.525,1,0,0,0
MA,1998,6147000,38192,124,1687,5938,30443,173011,37333,109275,26403,500,6.213112087197007,0.0201724418415487,0.2744428176346185,0.9659996746380348,4.952497153082804,28.145599479420856,6.073369123149504,17.77696437286481,4.29526598340654,0.0813404912965674,3.375,163.00833333333333,1,0,0,0
MA,1999,6175169,34023,122,1663,5931,26307,167437,32964,108845,25628,650,5.509646780517262,0.0197565443148195,0.2693043704552863,0.9604595436983182,4.260126322048838,27.11456156098724,5.338153498309115,17.626238245463405,4.150169817214719,0.1052602770871534,3.283333333333333,166.58333333333334,1,0,0,0
MA,2000,6349097,30230,125,1696,5815,22594,161901,30600,105425,25876,23,4.761307001609835,0.0196878390738084,0.267124600553433,0.9158782737135692,3.558616288269025,25.499846671109296,4.819583005268308,16.604723474850047,4.07554019099094,0.0036225623895807,2.8166666666666664,172.1916666666667,1,0,0,0
MA,2001,6401164,30585,143,1856,6476,22110,167079,32430,106821,27828,694,4.778037244476161,0.0223396869694324,0.2899472658410251,1.0116909986996117,3.454059292966092,26.10134656759302,5.066266072857999,16.68774616616603,4.347334328568992,0.1084177815159867,3.7833333333333337,177.04166666666666,1,0,0,0
MA,2002,6421800,31137,173,1777,7169,22018,167753,33243,107922,26588,666,4.848640568065028,0.026939487371142,0.276713693979881,1.1163536703105048,3.428633716403501,26.122426733937523,5.176586003924133,16.805568532187237,4.140272197826155,0.1037092403998878,5.216666666666668,179.86666666666665,1,0,0,0
MA,2003,6420357,30377,140,1848,8011,20378,164543,34963,104069,25511,676,4.731356838879832,0.0218056410258806,0.2878344615416245,1.247749930416642,3.1739668058956845,25.628325652296283,5.44564733705618,16.20922325658838,3.973455058651723,0.1052900952392522,5.733333333333333,184.0,1,0,0,0
MA,2004,6407382,29489,171,1794,7484,20040,158150,34497,101605,22048,595,4.602347729540708,0.0266879670979504,0.2799895495539364,1.1680277529886622,3.127642459900159,24.682467816028453,5.38394620454969,15.857490625656473,3.441030985822291,0.0928616399022252,5.108333333333333,188.90833333333333,1,0,0,0
MA,2005,6433367,29644,178,1751,7837,19878,151727,34728,98079,18920,625,4.6078515340411945,0.0276682489899923,0.2721747414689695,1.2181801535649994,3.0898283900172334,23.58438435114925,5.398106465867717,15.24536063308684,2.9409172521946907,0.0971497506671079,4.799999999999999,195.26666666666665,1,0,0,0
MA,2006,6437193,32217,188,1771,8080,22178,153943,35243,100725,17975,668,5.004821200793575,0.0292052762749229,0.2751199163983431,1.255205490964773,3.4452905171555366,23.91461619994926,5.474901871048452,15.647348153146876,2.792366175753935,0.1037719391045134,4.700000000000001,201.55833333333337,1,0,0,0
MA,2007,6449755,28487,187,1643,7021,19636,154743,35767,103925,15051,684,4.416756915572762,0.0289933493597818,0.2547383582787253,1.0885684805081743,3.0444567274260805,23.992074117544,5.545481960167479,16.113015145536536,2.333577011839985,0.1060505399042289,4.516666666666667,207.34416666666667,1,0,0,0
MA,2008,6497967,30137,166,1751,7077,21143,155919,36251,106913,12755,693,4.637912134672275,0.0255464516825031,0.2694688969642351,1.0891098708257525,3.253786915199785,23.995043372796445,5.57882180688206,16.45329993211723,1.9629216337971556,0.1066487410600885,5.333333333333333,215.25425,1,0,0,0
MA,2009,6593587,30503,173,1734,7467,21129,153178,34515,106799,11864,708,4.626161753837478,0.0262376154284458,0.2629828043521682,1.1324640138971396,3.2044773201597248,23.23136101791028,5.234631771750339,16.19740514533288,1.799324100827061,0.1073770619846223,8.075000000000001,214.56466666666665,1,0,0,0
MA,2010,6555466,30737,214,1784,6897,21842,154496,37903,105124,11469,657,4.688758968469976,0.0326445137538658,0.272139310920078,1.052099118506602,3.33187602528943,23.56750839680962,5.781892545854101,16.036083475987823,1.7495323749676983,0.100221708113504,8.058333333333335,218.07616666666664,1,0,0,0
MA,2011,6607003,28232,184,1654,6768,19626,148829,36403,101644,10782,565,4.273041801252399,0.0278492381492788,0.2503404342331917,1.0243676293169537,2.9704844995529744,22.52594708977732,5.509759871457604,15.384282404594035,1.6319048137256786,0.0855153236649052,7.225,224.923,1,0,0,0
MA,2012,6645303,27047,121,1650,6555,18721,143325,34635,99453,9237,617,4.070092815933299,0.0182083495666036,0.2482956759082317,0.9864110033808844,2.81717778707758,21.567865302755948,5.211951960655519,14.9659090036978,1.3900043384026282,0.0928475345668963,6.700000000000002,229.58608333333336,1,0,0,0
MI,1979,9208000,56558,834,4100,20218,31406,509457,138806,315211,55440,4053,6.142267593397046,0.0905734144222415,0.445264986967854,2.1956993918331884,3.410729800173762,55.32764986967854,15.074500434404865,34.23229800173762,6.020851433536056,0.4401607298001738,7.866666666666666,72.58333333333333,1,0,0,0
MI,1980,9228128,59014,940,4304,22519,31251,557051,160688,342384,53979,7032,6.395013159765447,0.1018624795841583,0.4664001192874654,2.440256572080491,3.3864939888133323,60.36446395195212,17.41284906321195,37.10221618078986,5.849398707950301,0.7620180387614909,12.3,82.38333333333334,1,0,0,0
MI,1981,9201000,59058,861,4366,23688,30143,571582,171331,341805,58446,5079,6.418650146723183,0.0935767851320508,0.4745136398217585,2.574502771437887,3.2760569503314856,62.121725899358765,18.62091077056841,37.14867949135964,6.352135637430714,0.5520052168242582,12.375,90.93333333333334,1,0,0,0
MI,1982,9109000,59806,827,4246,24699,30034,558195,165155,330031,63009,735,6.565594467010649,0.0907893292348227,0.4661323965309035,2.711494126687891,3.297178614557032,61.27950378746295,18.130969370951806,36.23130969370952,6.917224722801625,0.0806894280382039,15.45833333333333,96.53333333333336,1,0,0,0
MI,1983,9069000,64993,910,5085,25873,33125,522450,153438,302118,66894,7317,7.166501268056015,0.1003418237953467,0.560701290109163,2.852905502260448,3.6525526518910576,57.608336089976845,16.918954680780683,33.313264968574266,7.376116440621899,0.8068144227588488,14.483333333333334,99.58333333333331,1,0,0,0
MI,1984,9075000,68979,879,5880,27832,34388,525979,149209,298192,78578,9407,7.60099173553719,0.0968595041322314,0.6479338842975206,3.0668870523415976,3.78931129476584,57.95911845730028,16.441763085399447,32.85862258953168,8.658732782369146,1.0365840220385676,11.233333333333334,103.93333333333332,1,0,0,0
MI,1985,9088000,66714,1018,6140,26572,32984,511852,138792,297827,75233,3918,7.340889084507042,0.1120158450704225,0.6756161971830986,2.923855633802817,3.629401408450704,56.32174295774648,15.272007042253522,32.771456866197184,8.278279049295774,0.4311179577464789,10.0,107.6,1,0,0,0
MI,1986,9145000,73517,1032,6167,27550,38768,520127,138040,308894,73193,5552,8.039037725533078,0.112848551120831,0.6743575724439584,3.012575177692728,4.239256424275561,56.87556041552761,15.094587206123563,33.77736468015309,8.003608529250958,0.6071077091306725,8.908333333333333,109.69166666666668,1,0,0,0
MI,1987,9200000,71772,1124,6184,25442,39022,522254,133602,319470,69182,5499,7.801304347826087,0.1221739130434782,0.6721739130434783,2.765434782608696,4.241521739130435,56.76673913043479,14.521956521739131,34.725,7.519782608695652,0.5977173913043479,8.391666666666667,113.61666666666667,1,0,0,0
MI,1988,9300000,68980,1009,6462,22424,39085,496867,122254,305693,68920,5120,7.417204301075269,0.1084946236559139,0.6948387096774193,2.4111827956989247,4.202688172043011,53.42655913978495,13.145591397849463,32.87021505376344,7.410752688172043,0.5505376344086022,7.566666666666666,118.275,1,0,0,0
MI,1989,9273000,65760,993,6624,20616,37527,487682,113579,307096,67007,4599,7.091556130702038,0.1070850857327725,0.7143319314137819,2.223228728566806,4.046910384988677,52.59161005068479,12.24835544052626,33.11722204248895,7.226032567669578,0.4959560012940796,7.183333333333334,123.94166666666668,1,0,0,0
MI,1990,9295297,73468,971,7209,21752,43536,483764,106275,311153,66336,4460,7.903781880234703,0.1044614281824453,0.7755534868869709,2.3401081213435138,4.683658843821774,52.04395297966273,11.433201112347458,33.47423971498705,7.136512152328215,0.4798125331552074,7.7,130.65833333333333,1,0,0,0
MI,1991,9368000,75232,1009,7372,22790,44061,499781,111126,324985,63670,4741,8.030742954739539,0.1077070879590093,0.786934244235696,2.4327497865072587,4.703351836037575,53.34980785653288,11.862297181895816,34.69096925704526,6.7965414175918015,0.5060845431255337,9.283333333333331,136.16666666666666,1,0,0,0
MI,1992,9437000,72672,938,7550,20902,43282,456800,98257,299486,59057,4513,7.700752357740807,0.0993959944897742,0.8000423863515947,2.214898802585568,4.586415174313871,48.40521352124616,10.411889371622337,31.73529723429056,6.258026915333263,0.4782240118681784,9.066666666666666,140.3083333333333,1,0,0,0
MI,1993,9478000,75021,933,6740,22601,44747,441767,93143,290333,58291,4256,7.915277484701414,0.0984384891327284,0.7111204895547584,2.384574804811141,4.721143701202785,46.60972779067314,9.82728423718084,30.63230639375396,6.150137159738342,0.44903988183161,7.349999999999999,144.475,1,0,0,0
MI,1994,9496000,72751,927,6720,21733,43371,444325,91849,290172,62304,4130,7.661225779275484,0.097620050547599,0.7076663858466723,2.2886478517270428,4.56729149115417,46.79075400168492,9.672388374052233,30.55728727885425,6.561078348778433,0.4349199663016007,6.083333333333335,148.225,1,0,0,0
MI,1995,9549000,65680,808,5917,17885,41070,429223,86872,280712,61639,4002,6.8782071421091215,0.0846161901769818,0.6196460362341606,1.8729709917268824,4.300973923971096,44.94952351031522,9.09749712011729,29.39700492198136,6.455021468216567,0.4191014765944078,5.316666666666667,152.38333333333335,1,0,0,0
MI,1996,9594000,60951,722,5466,16907,37856,430020,85908,276909,67203,4522,6.353033145716073,0.0752553679382947,0.5697310819262039,1.762247237856994,3.94579945799458,44.82176360225141,8.954346466541589,28.86272670419012,7.0046904315197,0.4713362518240567,4.891666666666667,156.85833333333332,1,0,0,0
MI,1997,9774000,57663,759,5070,14934,36900,422916,80726,276863,65327,5450,5.89963167587477,0.0776550030693677,0.5187231430325353,1.5279312461632903,3.775322283609576,43.2694904849601,8.25925925925926,28.32647841211377,6.683752813587068,0.5576018006957233,4.291666666666667,160.525,1,0,0,0
MI,1998,9817000,60947,721,4946,15293,39987,398773,82249,258186,58338,5221,6.208312111643068,0.0734440256697565,0.5038199042477335,1.5578078842823673,4.073240297443211,40.62065804217174,8.378221452582256,26.2998879494754,5.942548640114088,0.5318325353977794,3.974999999999999,163.00833333333333,1,0,0,0
MI,1999,9863775,56709,695,4849,14103,37062,369887,76736,236351,56800,4566,5.74921873217911,0.0704598391589427,0.4915967770959901,1.4297771390770777,3.7573849768471,37.49953744889761,7.779577291655578,23.96151574828096,5.758444408961072,0.4629059361147228,3.7416666666666663,166.58333333333334,1,0,0,0
MI,2000,9938444,55159,669,5025,13712,35753,353297,69790,227783,55724,2325,5.550063973797106,0.0673143602761156,0.5056123473654427,1.379692837228846,3.5974444289267016,35.548522485008725,7.022226014454577,22.919382551232367,5.606913919321777,0.2339400413183391,3.6916666666666655,172.1916666666667,1,0,0,0
