population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000
281421906,1425486,15586,90178,408016,911706,10182584,2050992,6971590,1160002,69467,5.065298648073259,0.05538303759480614,0.3204370309395886,1.4498373840165804,3.2396411955222844,36.182627517276494,7.287961442489839,24.77273393209127,4.121932142695387,0.24684290213001397
285317559,1439480,16037,90863,423557,909023,10437189,2116531,7092267,1228391,79040,5.04518545947605,0.05620754662351503,0.3184626993111209,1.4845108078328961,3.186004405708518,36.58095574832813,7.418158936373067,24.857450150833515,4.305346661121547,0.27702466079208254
287973924,1423677,16229,95235,420806,891407,10455277,2151252,7057379,1246646,77149,4.943770533890422,0.05635579699223045,0.3307070260986547,1.4612642497450568,3.0954434610544808,36.30633237473265,7.470301373536862,24.507007099712265,4.329023901483525,0.26790272858177255
290788976,1383676,16528,93883,414235,859030,10442862,2154834,7026802,1261226,72812,4.758350949315217,0.05683846831937672,0.3228561181769146,1.4245209900942049,2.954135372724721,35.91216607881311,7.410301551459089,24.16460932136574,4.337255205988276,0.2503946366935175
293656842,1360088,16148,95089,401470,847381,10319386,2144446,6937089,1237851,69305,4.631555630500174,0.0549893538663063,0.32380992505531336,1.367139949015729,2.8856164025628255,35.140969063475794,7.302557588629248,23.62311381118782,4.215297663658727,0.23600676057123846
296507061,1390745,16740,94347,417438,862220,10174754,2155448,6783447,1235859,68514,4.690427928797284,0.05645734015083034,0.31819478322642714,1.4078518015461359,2.907924003873891,34.31538515705027,7.2694660043863175,22.87785989690141,4.168059255762547,0.23107038250262782
299398484,1435123,17309,94472,449246,874096,10019601,2194993,6626363,1198245,72875,4.793354264278773,0.05781258398088616,0.31553933987187455,1.500495239648575,2.9195071007774374,33.465770655004384,7.331343067188009,22.13225301434726,4.002174573469116,0.24340470608394932
301621157,1422970,17128,92160,447324,866358,9882212,2190198,6591542,1100472,68013,4.717739346116227,0.05678646740288182,0.3055488577679582,1.4830657253927315,2.8723382955526557,32.76365656272581,7.261420325365306,21.853712337559926,3.64852389980057,0.2254914763820762
304059724,1394461,16465,90750,443563,843683,9774152,2228887,6586206,959059,65767,4.586141767332526,0.05415054576580488,0.29846110101711465,1.4588022187377898,2.7747279018118167,32.14550046753315,7.330424992426817,21.660895804799193,3.15417967030714,0.21629632210019373
307006550,1325896,15399,89241,408742,812514,9337060,2203313,6338095,795652,59876,4.318787335319067,0.05015853896276806,0.29068109458902425,1.331378760485729,2.646568941281546,30.413227339937862,7.176762189601493,20.644820118658707,2.591645031677663,0.19503166951975456
309330219,1251248,14722,85593,369089,781844,9112625,2168459,6204601,739565,55938,4.0450234834638,0.04759315157630946,0.27670429444851624,1.19318765943136,2.527538378007614,29.45921361792331,7.010175103519389,20.058179314191094,2.3908592002128315,0.18083587235943477
311587816,1206031,14661,84175,354772,752423,9052743,2185140,6151095,716508,54504,3.870597430549082,0.04705254585436037,0.2701485606227941,1.1385939429672693,2.414802381104658,29.053584688305016,7.012918630939023,19.74112813191643,2.2995379254495627,0.17492339944383448
313873685,1217067,14856,85141,355051,762009,9001992,2109932,6168874,723186,55280,3.8775694114019146,0.04733114214401249,0.27125880272505165,1.1311907208786873,2.427756885703878,28.680301758970334,6.722232862560619,19.6540018956989,2.3040670007108113,0.17612180517777398
316497531,1199684,14319,113695,345093,726777,8651892,1932139,6019465,700288,47156,3.7905003435871985,0.04524205909208182,0.35922871069727236,1.0903497379889513,2.296311752270826,27.3363649083253,6.104752204212297,19.018995127642874,2.2126175764701306,0.14899326339452548
318907401,1186185,14164,118027,322905,731089,8209010,1713153,5809054,686803,46149,3.719527976711961,0.0444141464123625,0.3700980272953904,1.0125352970406603,2.292480505963548,25.741045752650937,5.371944942726493,18.215488200601527,2.1536126093229173,0.14470971779046293
320903064,1234854,15873,126134,328109,764057,8024115,1587564,5723488,713063,44009,3.8480592382252854,0.04946353519391762,0.39305950659293176,1.0224551797984702,2.380958880467405,25.004793971054138,4.947176197731786,17.8355666931245,2.2220510801978506,0.13714110252309714
323405935,1285606,17413,132414,332797,802982,7928530,1516405,5644835,767290,45905,3.975208432708571,0.05384254930262798,0.40943589980808487,1.0290380106969899,2.4828919729008683,24.515722013574056,4.68885952881477,17.454333359714006,2.372529125045278,0.14194235489215742
325147121,1283875,17294,135666,320596,810319,7682988,1397045,5513000,772943,42990,3.948597164420226,0.053188230444150233,0.4172449677018669,0.9860028869823516,2.492161079291857,23.629266580527403,4.296654990219028,16.95540155190241,2.3772100384059685,0.13221707105319871
326687501,1252399,16374,143765,281278,810982,7219084,1235013,5232167,751904,39306,3.8336299863520034,0.05012129313144429,0.4400688718115359,0.8610001886787827,2.4824396327302405,22.097827366832746,3.7804109316076957,16.015816289218854,2.3016001460061983,0.12031681616126477
328329953,1250393,16669,143224,268483,822017,6995235,1118096,5152267,724872,35807,3.8083427618314194,0.050769050608063165,0.4362197194966248,0.81772313962473,2.503630852102001,21.30550361331182,3.405403588018057,15.692345315811014,2.2077547094827503,0.10905797559079236
329484123,1313105,21570,126430,243600,921505,6452038,1035314,4606324,810400,43533,3.985336191753312,0.06546597694481321,0.3837210693153794,0.7393375977633981,2.7968115477297215,19.58224251066568,3.14222728116098,13.980412646469158,2.459602583035541,0.1321247276003038
